기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
룰루즈,전남대학교,박상석,661-88-02999,스마트뿌리,정형외과용 및 신체보정용 기기 제조업 / 제조업,"충북 청주시 흥덕구 오송읍 오송생명9로 132 바이오세라믹 테크노베이터 204, 205호 (정중리)"
리디쉬,전남대학교,김혜연,104-87-01146,스마트뿌리,제조/서비스,광주광역시 서구 상무화원로32번길 13-8 (치평동) 2층
리서리스테라퓨틱스,전남대학교,김용배,745-87-01933,메디헬스,"전문,과학 및 기술서비스업(의학 및 약학 연구개발업)",서울 강서구 마곡중앙8로 14 서울창업허브엠플러스 504호(마곡동)
리센ABA,조선대학교,이선일,632-98-00537,,서비스,
링크21,전남대학교,박은경,513-86-02361,문화콘텐츠,서비스업/빅데이터 전략 및 컨설팅업,"광주 북구 용봉로 77 303호 농업전문창업보육센터(용봉동,전남대학교)"
링크옵틱스,전남대학교,최용원,410-81-94698,,유선 통신장비 제조업,
마루이엔지,전남대학교,권용기,409-86-30457,스마트뿌리,"제조업, 서비스",광주 남구 에너지밸리산업1로 15 (주)마루이엔지 (압촌동)
마린로보틱스,조선대학교,박진향,411-81-72246,,제조업,
마린테크노,전남대학교,황재호,417-81-49855,메디헬스,제조/수산물가공,"전남 순천시 해룡면 율촌산단4로 26-192, 203호 (58034)"
마스타씨스템,전남대학교,최돈형,652-85-01205,스마트뿌리,제조업,전북완주군 봉동읍 완주산단7로 187(용암리)
마스터볼트코리아,조선대학교,김승옥,185-81-00542,,선박전장 시스템,
마이띵스,조선대학교,이상호,893-81-01564,,"제조업, 농업, 임업, 어업, 정보통신업",
마이렌,전남대학교,최은홍,261-86-01229,데이터,정보통신업/응용 소프트웨어 개발 및 공급업,"경북 영천시 금호읍 대구대길 333 창업보육센터 2호관 1202호 (남성리, 대구대학교)"
마인스페이스,전남대학교,엄정현,643-87-02688,데이터,정보통신업/응용소프트웨아 개발 및 공급업,"광주 동구 동계천로 150 306호 (동명동, I-PLEX 광주)"
만들닷,전남대학교,심은지,449-87-01321,스마트뿌리,"제조 외/교육 교안, 교구 외","광주 북구 용봉로 77 산학협력2호관 308호 (용봉동, 전남대학교)"
맵씨,전남대학교,안상남,110-86-04379,스마트뿌리,제조업/완구 외,서울 중구 퇴계로20길 67 1층 (남산동2가)
메도니카,전남대학교,조욱래,119-86-15489,,방사선 장치 제조업,
메디덴,전남대학교,김승일,251-87-00725,메디헬스,제조업/치과용의료기기제조,광주 북구 첨단연신로 13 연제동 (연제동)
메이팜소프트,전남대학교,민윤정,668-81-00486,문화콘텐츠,정보통신업,"서울특별시 송파구 중대로 105 (가락동, 가락 ID TOWER) 1203호"
멤스,전남대학교,김세민,797-81-01873,스마트뿌리,제조업,광주광역시 북구 첨단과기로 208번길 6 한국생산기술연구원 1126호 (오룡동)
명진테크,전남대학교,진성현,621-81-57143,모빌리티,"제조,도매,자동차부품","부산 기장군 정관읍 곰내길 591-42 (주)명진테크 (매학리, (주)명진테크)"
모노스케일,전남대학교,김형태,464-88-02345,AI,제조/서비스,"광주 북구 첨단연신로288번길 48 1층 모노스케일 (연제동, 미크론텍)"
모든나라 여행사,전남대학교,박숭희,409-81-82800,문화콘텐츠,여행알선,"광주 북구 서암대로 201 상가109-102 (중흥동, 모아타운)"
모람플랫폼,조선대학교,김종언,197-81-01938,,교육서비스업,
모아산부인과병원,조선간호대학교,조주은 외 8명,408-91-49355,,보건업 및 사회복지 서비스업,
목포반찬 게미지다,조선대학교,정현중,680-48-00768,,"식품제조,수산물가공,전자상거래",
목포현대상용서비스,전남대학교,조성희,430-86-00791,모빌리티,"제조업/건설기계,자동차부품","전남 영암군 삼호읍 대불역로 219 (나불리, 주) 디케이모터스"
무브더180,조선대학교,진설희,408-90-53342,,교육서비스,
무송지오씨,전남대학교,박인철,409-81-59615,,광섬유 케이블 제조업,
